tag_id,name,category,count
9999999,general,9,1589178
9999998,sensitive,9,3994361
9999997,questionable,9,892496
9999996,explicit,9,706509
470575,1girl,0,5113288
212816,solo,0,4253220
13197,long_hair,0,3645082
8601,breasts,0,2889545
469576,looking_at_viewer,0,2696730
3389,blush,0,2496356
1815,smile,0,2365730
11906,open_mouth,0,1950469
15080,short_hair,0,1904624
10959,blue_eyes,0,1490640
412368,simple_background,0,1420030
12590,shirt,0,1382452
403247,large_breasts,0,1333379
429,skirt,0,1328225
87788,blonde_hair,0,1311581
566835,multiple_girls,0,1309199
16867,brown_hair,0,1267072
13200,black_hair,0,1225953
383159,long_sleeves,0,1199349
380350,hair_ornament,0,1175185
515193,white_background,0,1161729
540830,1boy,0,1129709
5735,gloves,0,1113040
8526,red_eyes,0,1081613
2241,dress,0,1046050
1882,thighhighs,0,1034635
2373,hat,0,1034610
375387,holding,0,1022399
4563,bow,0,984380
9294,navel,0,974528
6126,animal_ears,0,950191
464575,ribbon,0,937186
658573,hair_between_eyes,0,922798
572080,closed_mouth,0,876401
1821,2girls,0,860944
4607,cleavage,0,848453
16613,jewelry,0,829749
376054,bare_shoulders,0,815753
417660,very_long_hair,0,783428
12289,sitting,0,782247
1709,twintails,0,770972
667868,medium_breasts,0,770389
16578,brown_eyes,0,747352
15675,standing,0,733225
8889,nipples,0,717669
10960,green_eyes,0,711390
464906,underwear,0,706352
10953,blue_hair,0,704952
3843,jacket,0,700303
16509,school_uniform,0,688100
15654,purple_eyes,0,669153
466499,collarbone,0,655630
15674,tail,0,634183
376766,white_shirt,0,629056
608813,full_body,0,624413
547463,upper_body,0,595301
391,panties,0,580171
465619,closed_eyes,0,570045
89189,yellow_eyes,0,565375
444,swimsuit,0,564464
16581,white_hair,0,563701
11429,pink_hair,0,551851
1681,monochrome,0,547787
16580,grey_hair,0,529760
3522,ahoge,0,528662
4334,braid,0,525679
464561,hair_ribbon,0,525639
16442,purple_hair,0,524002
1300281,male_focus,0,516211
2355,ponytail,0,514797
8101,ass,0,513666
464559,flower,0,512140
11449,weapon,0,506828
390728,multicolored_hair,0,501249
472154,short_sleeves,0,499860
484168,sidelocks,0,484224
63,comic,0,474986
622137,hetero,0,472134
2750,heart,0,467808
3870,thighs,0,465668
384553,:d,0,464842
374844,hair_bow,0,455229
2363,pantyhose,0,441476
13879,outdoors,0,439693
660909,cowboy_shot,0,438408
13804,earrings,0,434737
513837,greyscale,0,432002
6539,bikini,0,426322
4569,sweat,0,425602
5403,red_hair,0,424264
2365,nude,0,422321
383282,pleated_skirt,0,416655
465265,small_breasts,0,413326
194013,frills,0,401738
2376,hairband,0,397872
664375,parted_lips,0,396122
